coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
inclusion_c100,inclusion,100.0,100.0,413.55607751284737,118.48818897637796,128,15876,jacobi-pcg,1e-08,True,264,0.0001569000305607915,0.18510570004582405,0.18526260007638484,8.903279413536068e-09,1.3266029357910156,amg-pcg,False,7.044540017782414
inclusion_c100,inclusion,100.0,100.0,413.55607751284737,118.48818897637796,128,15876,amg-pcg,1e-08,True,12,0.05213369999546558,0.0317980000982061,0.08393170009367168,1.6524412732556938e-09,1.3266029357910156,amg-pcg,True,15.54942648105509
inclusion_c100,inclusion,100.0,100.0,830.368502092725,118.02352941176471,256,64516,cg,1e-08,True,4370,3.998866304755211e-07,5.339423099998385,5.339423499885015,9.952871014461878e-09,5.402774810791016,amg-pcg,False,1.0
inclusion_c100,inclusion,100.0,100.0,830.368502092725,118.02352941176471,256,64516,jacobi-pcg,1e-08,True,535,0.0006155999144539237,0.8633745000697672,0.8639900999842212,9.140165530045868e-09,5.402774810791016,amg-pcg,False,6.179959122196571
inclusion_c100,inclusion,100.0,100.0,830.368502092725,118.02352941176471,256,64516,amg-pcg,1e-08,True,12,0.17039949994068593,0.09819150005932897,0.2685910000000149,4.4451779794650055e-09,5.402774810791016,amg-pcg,True,19.879383523218273
layered_c10,layered,10.0,10.0,72.53143042931245,9.142857142857142,64,3844,cg,1e-08,True,424,4.00003045797348e-07,0.024553800001740456,0.024554200004786253,9.437341942103761e-09,0.3197669982910156,jacobi-pcg,False,1.0
layered_c10,layered,10.0,10.0,72.53143042931245,9.142857142857142,64,3844,jacobi-pcg,1e-08,True,169,8.809997234493494e-05,0.008712699986062944,0.008800799958407879,8.93303857862281e-09,0.3197669982910156,jacobi-pcg,True,2.789996377696132
layered_c10,layered,10.0,10.0,72.53143042931245,9.142857142857142,64,3844,amg-pcg,1e-08,True,8,0.010869699995964766,0.006355099962092936,0.0172247999580577,5.6645196075565105e-09,0.3197669982910156,jacobi-pcg,False,1.425514378371627
layered_c10,layered,10.0,10.0,146.21415340512192,9.070866141732283,128,15876,cg,1e-08,True,867,6.00004568696022e-07,0.5776021999772638,0.5776027999818325,9.646270651243804e-09,1.3266029357910156,amg-pcg,False,1.0
layered_c10,layered,10.0,10.0,146.21415340512192,9.070866141732283,128,15876,jacobi-pcg,1e-08,True,338,0.0001346999779343605,0.23494629992637783,0.2350809999043122,9.810119920940135e-09,1.3266029357910156,amg-pcg,False,2.4570373625130957
layered_c10,layered,10.0,10.0,146.21415340512192,9.070866141732283,128,15876,amg-pcg,1e-08,True,10,0.05978399992454797,0.02868109999690205,0.08846509992145002,1.08641379774017e-09,1.3266029357910156,amg-pcg,True,6.529160092451124
layered_c10,layered,10.0,10.0,293.57959935674086,9.035294117647059,256,64516,cg,1e-08,True,1760,5.00003807246685e-07,2.0880573999602348,2.088057899964042,9.776773333079855e-09,5.402774810791016,amg-pcg,False,1.0
layered_c10,layered,10.0,10.0,293.57959935674086,9.035294117647059,256,64516,jacobi-pcg,1e-08,True,661,0.000287200091406703,0.8960408999118954,0.8963281000033021,9.81231471091207e-09,5.402774810791016,amg-pcg,False,2.3295687148002497
layered_c10,layered,10.0,10.0,293.57959935674086,9.035294117647059,256,64516,amg-pcg,1e-08,True,10,0.1821934999898076,0.07426389993634075,0.25645739992614836,8.364533440263221e-10,5.402774810791016,amg-pcg,True,8.141928837168813
layered_c30,layered,30.0,30.0,107.1377175223579,29.46031746031746,64,3844,cg,1e-08,True,680,3.00002284348011e-07,0.03197130002081394,0.03197160002309829,8.642480133871502e-09,0.3197669982910156,jacobi-pcg,False,1.0
layered_c30,layered,30.0,30.0,107.1377175223579,29.46031746031746,64,3844,jacobi-pcg,1e-08,True,169,8.110003545880318e-05,0.008494699955917895,0.008575799991376698,9.470403569994605e-09,0.3197669982910156,jacobi-pcg,True,3.728118665925859
