n,contrast,geometry,average,rhs,method,count,iterations,median_total,all_accepted,max_residual
64,10000.0,disconnected,arithmetic,ones,amg025,2,31.0,0.02173824999954377,True,2.6306183693120026e-09
64,10000.0,disconnected,arithmetic,random,cg,2,3617.0,0.1175415000002431,True,8.31830800607981e-09
64,10000.0,disconnected,arithmetic,dipole,amg0,2,15.0,0.015254449999702047,True,9.723849122707333e-09
64,10000.0,disconnected,arithmetic,random,amg0,2,14.0,0.02362810000022364,True,2.3971877072903474e-09
64,10000.0,connected,arithmetic,dipole,amg0,2,12.0,0.01296869999896444,True,6.285363758782387e-09
64,10000.0,connected,arithmetic,random,amg025,2,26.0,0.026053350000438513,True,5.15414845778927e-09
64,10000.0,connected,arithmetic,random,jacobi,2,299.0,0.009329749999324122,True,7.899638720523195e-09
64,10000.0,connected,arithmetic,ones,amg0,2,13.0,0.015232850000302278,True,7.643251750513641e-10
64,10000.0,connected,arithmetic,ones,jacobi,2,303.0,0.009559950000038953,True,8.856073415152399e-09
64,10000.0,connected,arithmetic,random,amg0,2,11.0,0.012880950000635494,True,4.431599880759565e-09
64,10000.0,connected,arithmetic,ones,amg025,2,27.0,0.018527650000123685,True,3.91297433546679e-09
64,10000.0,connected,arithmetic,ones,cg,2,5039.0,0.15790415000037683,True,1.1190024178456479e-08
64,10000.0,connected,arithmetic,random,cg,2,5109.0,0.1583144500000344,True,9.049322933027485e-09
64,10000.0,connected,arithmetic,dipole,amg025,2,26.0,0.018505350000395993,True,7.867478504913781e-09
64,10000.0,connected,arithmetic,dipole,cg,2,4846.0,0.14276285000005373,True,9.953013488849317e-09
64,10000.0,connected,arithmetic,dipole,jacobi,2,294.0,0.009083800000098563,True,9.892705334323729e-09
64,100.0,connected,arithmetic,dipole,amg0,2,11.0,0.012424150000242662,True,5.351855852491624e-09
