n,contrast,geometry,average,rhs,repeat,order,method,seed,reflection_x,reflection_y,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,components1_77,harmonic,ones,4,3,amg0,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04538520000005519,0.049385000000256696,0.09477020000031189,15,0,8.198070139287552e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,random,4,4,amg0,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04146900000068854,0.040196900000410096,0.08166590000109863,13,0,2.316557592823841e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_y,4,5,amg0,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04239759999927628,0.04618140000002313,0.08857899999929941,15,0,9.48270069418237e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,ones,4,6,jacobi,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00021490000017365674,0.14892109999982495,0.1491359999999986,897,0,2.764682391661647e-09,True,0.0
192,1000.0,components1_77,harmonic,dipole_y,4,7,jacobi,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00020370000038383296,0.15298529999927268,0.15318899999965652,901,0,9.835187296668944e-10,True,0.0
192,1000.0,components1_29,harmonic,random,0,0,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041401200000109384,0.0400179999996908,0.08141919999980018,12,0,9.185268645640115e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,dipole_y,0,1,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041043700000045646,0.04660100000000966,0.08764470000005531,15,0,5.242171908852838e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,ones,0,2,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00012340000012045493,0.15070699999978387,0.15083039999990433,894,0,2.7733853707091886e-09,True,0.0
192,1000.0,components1_29,harmonic,dipole_x,0,3,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04041049999977986,0.04730710000058025,0.08771760000036011,15,0,2.238354879617484e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,ones,0,4,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0408343999997669,0.0436638999999559,0.0844982999997228,14,0,9.097608865822498e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,dipole_y,0,5,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00014060000012250384,0.1595508999998856,0.1596915000000081,898,0,9.934196921285666e-10,True,0.0
192,1000.0,components1_29,harmonic,random,0,6,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00013310000031196978,0.1479975000002014,0.14813060000051337,878,0,9.885001493192472e-10,True,0.0
