n,contrast,geometry,average,rhs,repeat,method,order,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,levels,complexity
128,1000000.0,disconnected,harmonic,ones,1,cg,17,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,1.2000000424450263e-06,0.7226764999995794,0.7226776999996218,8000,8000,0.004066551270894127,False,0,0.0
128,1000000.0,disconnected,harmonic,dipole,1,amg025,18,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.02377390000037849,0.08484760000010283,0.10862150000048132,52,0,7.177686724492153e-09,True,4,1.308458846797505
128,1000000.0,disconnected,harmonic,random,0,amg0,19,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.024707000000489643,0.029278299999532464,0.05398530000002211,17,0,2.0144435854005267e-09,True,5,1.3399006034788783
128,1000000.0,disconnected,harmonic,dipole,1,jacobi,20,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.880000066506909e-05,0.02492510000047332,0.02500390000113839,278,0,9.433798654328727e-09,True,0,0.0
128,1000000.0,disconnected,harmonic,random,1,amg0,21,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.021688899999389832,0.025840599999355618,0.04752949999874545,17,0,1.9779073560520937e-09,True,5,1.3399006034788783
128,1000000.0,disconnected,harmonic,ones,1,amg025,22,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.03245069999957195,0.10617339999953401,0.13862409999910597,68,0,3.5697115135866117e-07,False,4,1.308458846797505
128,1000000.0,disconnected,harmonic,ones,1,jacobi,23,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.63000007282244e-05,0.03911510000034468,0.03919140000107291,418,0,7.862901971620198e-07,False,0,0.0
128,100.0,disconnected,harmonic,dipole,1,amg025,0,732,768,5.640625,124.7244094488189,413.55607751284737,2,0.02483810000012454,0.07633559999976569,0.10117369999989023,48,0,3.4005500085782805e-09,True,4,1.308458846797505
128,100.0,disconnected,harmonic,ones,1,amg025,1,732,768,5.640625,124.7244094488189,413.55607751284737,2,0.02410559999952966,0.07598969999980909,0.10009529999933875,48,0,4.543579723604579e-09,True,4,1.308458846797505
128,100.0,disconnected,harmonic,ones,1,jacobi,2,732,768,5.640625,124.7244094488189,413.55607751284737,2,7.510000068577938e-05,0.03301079999982903,0.03308590000051481,331,0,8.710697636684197e-09,True,0,0.0
